patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.11,Rammus,JUNGLE,9,33.3,6.86,7.2,15144.0,2.6,2.6,12.1,15.5
16.11,Cassiopeia,MIDDLE,8,50.0,4.22,7.3,30046.0,9.4,5.0,8.0,13.8
16.11,Caitlyn,BOTTOM,8,75.0,3.43,8.3,16690.0,6.0,4.1,4.4,13.8
16.11,Senna,UTILITY,7,42.9,2.65,1.2,17476.0,4.6,7.7,14.1,12.1
16.11,Akali,MIDDLE,7,57.1,3.35,7.5,23028.0,7.3,6.6,5.3,12.1
16.11,Talon,JUNGLE,7,28.6,3.32,7.7,19922.0,7.9,4.9,5.0,12.1
16.11,Varus,BOTTOM,7,57.1,2.67,8.5,17532.0,6.1,6.1,5.9,12.1
16.11,Ryze,MIDDLE,7,100.0,7.6,8.9,27301.0,8.4,3.3,8.3,12.1
16.11,Alistar,UTILITY,7,71.4,4.1,0.8,7514.0,1.1,5.6,19.6,12.1
16.11,Nautilus,UTILITY,7,57.1,2.02,0.8,11025.0,2.3,8.9,14.6,12.1
16.11,Graves,JUNGLE,6,50.0,6.88,8.5,18889.0,8.3,3.5,4.7,10.3
16.11,Bard,UTILITY,6,50.0,6.29,0.8,10811.0,2.3,4.7,13.7,10.3
16.11,Lulu,UTILITY,6,16.7,2.39,1.1,5748.0,1.0,6.5,9.8,10.3
16.11,Sivir,BOTTOM,6,33.3,2.03,8.6,16587.0,3.3,6.0,5.7,10.3
16.11,TwistedFate,UTILITY,6,66.7,3.11,1.5,9044.0,1.5,7.3,13.0,10.3
16.11,Jinx,BOTTOM,6,33.3,1.73,8.6,22226.0,6.5,5.7,3.7,10.3
16.11,Vayne,TOP,6,66.7,2.46,7.7,27363.0,7.5,6.3,3.2,10.3
16.11,Jhin,BOTTOM,6,33.3,4.33,8.3,17297.0,3.8,4.5,6.5,10.3
16.11,Viego,JUNGLE,6,66.7,4.27,7.3,21115.0,10.7,6.2,5.7,10.3
16.11,Jayce,TOP,5,60.0,1.89,8.0,20924.0,5.8,6.4,3.8,8.6
16.11,Soraka,UTILITY,5,60.0,7.35,0.9,5497.0,0.4,4.4,19.0,8.6
16.11,Yasuo,MIDDLE,5,60.0,2.42,7.8,20811.0,4.6,5.4,5.2,8.6
16.11,Janna,UTILITY,5,40.0,3.09,0.8,9441.0,1.8,6.6,19.2,8.6
16.11,Seraphine,UTILITY,5,40.0,9.34,1.4,13018.0,2.6,6.4,18.2,8.6
16.11,Rumble,TOP,5,40.0,2.49,8.2,23583.0,5.0,4.2,4.8,8.6
16.11,Aurora,MIDDLE,5,60.0,3.79,8.0,31320.0,8.8,4.0,5.2,8.6
16.11,Sion,TOP,5,80.0,3.64,7.0,22896.0,5.0,4.8,10.4,8.6
16.11,Lissandra,MIDDLE,5,60.0,2.93,7.7,31214.0,7.2,7.6,12.6,8.6
16.11,Hwei,BOTTOM,5,80.0,5.67,6.7,48851.0,8.4,5.4,14.0,8.6
16.11,MonkeyKing,JUNGLE,5,40.0,3.29,6.4,14666.0,5.0,3.8,7.0,8.6
16.11,Kayn,JUNGLE,5,40.0,2.65,6.5,22171.0,7.2,6.8,6.0,8.6
