patch,champion_name,team_position,games_played,win_rate,avg_kda,avg_cs_min,avg_damage,avg_kills,avg_deaths,avg_assists,pick_rate
16.12,Vi,JUNGLE,43,48.8,4.35,6.8,15934.0,5.8,5.1,8.4,6.0
16.12,Akali,MIDDLE,43,60.5,4.66,7.5,26638.0,9.4,5.3,5.6,6.0
16.12,Aatrox,TOP,42,50.0,3.48,7.4,21620.0,5.7,5.4,5.5,5.8
16.12,Yasuo,TOP,42,40.5,1.74,8.5,22654.0,5.6,7.3,4.1,5.8
16.12,Hwei,MIDDLE,41,41.5,4.08,7.5,23712.0,5.3,5.5,7.5,5.7
16.12,Quinn,JUNGLE,41,46.3,3.56,7.4,24174.0,8.5,6.7,7.3,5.7
16.12,Jax,TOP,41,39.0,2.51,7.3,23400.0,7.0,6.4,4.7,5.7
16.12,Sion,TOP,41,41.5,2.64,7.5,18836.0,3.5,5.2,6.5,5.7
16.12,Leblanc,MIDDLE,40,62.5,5.87,7.4,24901.0,8.2,4.1,6.4,5.6
16.12,Syndra,MIDDLE,39,43.6,2.95,8.2,26948.0,7.0,5.7,6.2,5.4
16.12,Milio,UTILITY,39,38.5,3.62,1.0,5555.0,0.8,5.5,15.8,5.4
16.12,Garen,TOP,38,42.1,2.3,8.1,19091.0,5.3,5.8,2.9,5.3
16.12,Varus,BOTTOM,38,60.5,4.49,8.4,25546.0,6.4,5.6,7.5,5.3
16.12,Soraka,UTILITY,38,57.9,4.09,1.0,5692.0,0.7,6.5,17.6,5.3
16.12,Yone,MIDDLE,38,55.3,2.48,8.3,24681.0,6.3,6.7,5.9,5.3
16.12,Aatrox,JUNGLE,37,48.6,3.99,7.2,20370.0,7.2,5.3,7.7,5.2
16.12,MasterYi,JUNGLE,37,40.5,2.58,7.4,19119.0,7.8,6.2,4.5,5.2
16.12,Sylas,JUNGLE,36,38.9,4.25,6.7,19649.0,7.9,5.6,7.7,5.0
16.12,Irelia,TOP,35,62.9,2.88,8.5,22663.0,6.7,7.8,5.2,4.9
16.12,Hwei,BOTTOM,34,38.2,3.65,6.8,21724.0,5.7,5.4,7.5,4.7
16.12,Zoe,MIDDLE,34,76.5,5.19,7.5,26135.0,7.6,4.5,8.0,4.7
16.12,TwistedFate,MIDDLE,34,70.6,4.92,7.6,20794.0,4.8,5.3,11.3,4.7
16.12,Seraphine,BOTTOM,34,47.1,3.96,7.0,20132.0,4.6,5.6,10.7,4.7
16.12,Nasus,JUNGLE,33,60.6,6.3,6.4,21779.0,7.4,4.7,8.8,4.6
16.12,Gragas,TOP,32,65.6,2.37,6.8,20638.0,4.6,5.9,6.3,4.5
16.12,Aurora,MIDDLE,32,59.4,7.18,7.8,32368.0,9.8,4.0,6.7,4.5
16.12,Akali,TOP,32,50.0,2.96,7.0,21230.0,6.8,5.8,4.1,4.5
16.12,Kassadin,MIDDLE,32,43.8,3.39,7.1,20437.0,6.4,5.4,5.1,4.5
16.12,Vayne,BOTTOM,31,58.1,2.17,7.1,23908.0,8.3,7.5,5.8,4.3
16.12,Lux,UTILITY,30,46.7,3.29,1.6,15929.0,3.5,7.2,14.9,4.2
16.12,Lux,BOTTOM,30,30.0,3.44,7.5,23948.0,6.7,5.8,8.6,4.2
16.12,Fiora,TOP,30,56.7,1.94,8.2,18991.0,4.5,6.1,3.8,4.2
